customer_id,age,gender,region,purchase_frequency,last_purchase_days_ago,product_category,feedback_score,churned
1121,68,female,west,2,33,home_goods,1,0
1122,46,male,west,1,37,books,2,1
1123,68,non-binary,east,20,178,books,1,0
1124,61,Other,east,16,139,electronics,5,1
1125,58,non-binary,south,3,112,electronics,1,1
1126,62,non-binary,north,2,84,electronics,3,1
1127,45,female,south,17,106,clothing,2,1
1128,57,Other,south,16,150,clothing,2,0
1129,34,Other,east,1,120,home_goods,5,1
1130,46,non-binary,east,14,177,home_goods,4,0
1131,30,Other,west,4,61,books,5,1
1132,36,non-binary,north,13,71,electronics,5,0
1133,67,male,west,10,59,home_goods,2,0
1134,57,non-binary,south,4,161,electronics,3,0
1135,20,non-binary,south,3,76,home_goods,4,1
1136,26,non-binary,east,6,66,books,3,0
1137,39,male,west,3,37,clothing,4,0
1138,69,non-binary,north,13,4,home_goods,5,0
1139,41,non-binary,west,12,28,clothing,4,1
1140,53,non-binary,south,3,163,books,3,1
1141,25,female,north,2,78,books,1,1
1142,52,female,west,15,95,books,5,0
1143,27,Other,north,16,158,books,3,1
1144,41,female,west,15,61,home_goods,1,0
1145,41,non-binary,north,13,71,clothing,1,0
1146,70,Other,north,7,165,electronics,1,0
1147,33,female,south,3,142,clothing,5,1
1148,32,non-binary,south,20,1,home_goods,2,0
1149,52,non-binary,south,4,170,electronics,2,1
1150,68,female,east,1,45,home_goods,1,1
1151,44,male,north,16,115,home_goods,5,0
1152,46,female,north,17,78,books,1,1
1153,48,Other,west,4,126,books,1,0
1154,38,female,north,5,71,home_goods,4,0
1155,51,non-binary,west,17,155,books,1,0
1156,25,female,west,15,59,books,3,0
1157,43,Other,north,11,110,home_goods,3,1
1158,27,Other,north,3,22,electronics,4,1
1159,65,non-binary,south,18,16,home_goods,1,0
1160,60,Other,north,10,154,home_goods,3,1
1161,50,female,south,16,58,electronics,3,0
1162,41,male,east,19,58,books,5,0
1163,70,male,east,1,47,home_goods,3,0
1164,40,male,south,5,145,books,1,1
1165,58,male,north,17,56,books,4,0
1166,28,non-binary,east,11,146,electronics,1,1
1167,66,male,north,9,114,books,4,0
1168,44,non-binary,south,17,30,home_goods,4,1
1169,61,Other,east,2,57,books,5,1
1170,31,non-binary,south,5,66,home_goods,3,1
1171,49,Other,south,5,98,clothing,5,0
1172,60,non-binary,north,13,11,books,1,0
1173,22,non-binary,west,19,104,books,3,1
1174,19,non-binary,south,20,118,home_goods,1,0
1175,24,female,west,19,103,electronics,4,0
1176,65,non-binary,south,11,44,electronics,5,0
1177,51,female,east,12,166,clothing,2,1
1178,34,female,south,20,40,electronics,2,0
1179,58,Other,west,19,149,books,5,0
1180,57,non-binary,east,5,113,electronics,4,0
1181,37,non-binary,north,12,130,electronics,3,0
1182,20,male,east,10,20,electronics,5,0
1183,42,Other,north,15,147,clothing,3,0
1184,50,female,north,15,27,home_goods,1,0
1185,29,male,south,15,113,clothing,3,1
1186,36,Other,west,11,174,electronics,3,1
1187,24,Other,east,9,169,clothing,3,1
1188,60,female,east,10,168,books,2,0
1189,23,non-binary,west,11,33,electronics,4,0
1190,19,non-binary,east,6,55,home_goods,4,1
1191,26,female,north,10,26,electronics,3,0
1192,57,female,west,5,42,clothing,5,0
1193,28,Other,north,14,94,clothing,4,0
1194,66,Other,south,18,62,home_goods,4,0
1195,30,non-binary,west,15,73,books,5,0
1196,28,female,south,9,14,books,3,0
1197,24,male,east,3,42,home_goods,4,0
1198,27,Other,north,8,116,home_goods,1,0
1199,43,non-binary,south,13,21,home_goods,2,1
1200,24,non-binary,south,5,10,home_goods,4,0
1201,26,Other,west,20,2,electronics,1,0
1202,27,Other,north,10,61,home_goods,1,1
1203,44,Other,north,4,128,electronics,5,1
1204,63,female,east,14,1,home_goods,2,0
1205,29,male,east,3,135,electronics,4,0
1206,20,Other,east,9,5,home_goods,1,1
1207,64,male,east,5,12,home_goods,5,1
1208,59,female,west,16,162,clothing,2,1
1209,67,Other,north,10,52,electronics,2,0
1210,38,non-binary,west,18,122,home_goods,1,0
1211,30,non-binary,east,2,168,home_goods,3,1
1212,41,Other,west,15,99,home_goods,2,0
1213,49,non-binary,east,3,109,electronics,4,1
1214,70,female,east,11,27,electronics,3,0
1215,37,Other,west,6,177,books,3,0
1216,64,non-binary,west,9,164,electronics,1,0
1217,43,non-binary,south,1,37,books,1,1
1218,33,non-binary,east,13,146,electronics,5,1
1219,46,non-binary,east,15,20,clothing,5,0
1220,38,non-binary,south,4,7,clothing,4,0
1221,53,male,east,9,115,clothing,5,1
1222,49,female,north,5,19,books,2,0
1223,46,male,east,12,17,home_goods,3,0
1224,63,female,east,17,58,electronics,2,0
1225,33,Other,north,12,142,home_goods,4,0
1226,53,female,north,3,80,books,4,0
1227,67,Other,north,5,82,electronics,4,0
1228,51,non-binary,south,18,164,clothing,2,0
1229,21,male,south,10,43,clothing,3,0
1230,32,non-binary,east,3,65,clothing,5,1
1231,58,non-binary,north,17,165,clothing,5,0
1232,27,female,east,19,11,electronics,1,1
1233,59,non-binary,south,19,107,electronics,4,0
1234,52,non-binary,east,16,63,books,3,0
1235,62,male,south,15,107,books,4,1
1236,56,female,east,11,89,books,2,0
1237,50,male,east,8,120,electronics,3,0
1238,27,male,north,10,99,books,2,0
1239,28,non-binary,east,7,41,books,5,0
1240,37,Other,north,3,101,books,2,1
1241,40,male,north,10,127,books,3,0
1242,24,Other,south,9,94,books,3,1
1243,21,female,east,18,74,electronics,4,0
1244,66,non-binary,north,5,25,books,3,0
1245,39,non-binary,south,7,155,books,5,1
1246,20,female,east,16,133,books,2,0
1247,50,female,east,20,82,clothing,4,0
1248,65,non-binary,east,17,131,books,5,1
1249,70,male,east,11,173,electronics,4,0
1250,68,male,west,9,168,clothing,1,0
1251,28,Other,south,8,9,electronics,2,1
1252,38,Other,south,14,177,clothing,4,0
1253,57,Other,north,5,133,clothing,5,1
1254,60,Other,west,11,45,books,5,1
1255,40,non-binary,west,7,64,home_goods,5,1
1256,37,non-binary,south,16,82,books,3,0
1257,68,non-binary,east,4,147,books,4,0
1258,67,female,east,2,74,electronics,3,0
1259,59,non-binary,west,7,52,home_goods,5,0
1260,26,male,south,8,13,clothing,2,1
1261,44,non-binary,west,4,175,clothing,1,0
1262,28,Other,west,16,167,clothing,3,1
1263,59,male,north,19,60,electronics,2,0
1264,29,male,west,16,48,home_goods,1,1
1265,54,male,east,10,117,books,2,0
1266,47,non-binary,south,4,85,clothing,4,0
1267,63,female,north,11,76,clothing,2,0
1268,58,Other,west,17,84,electronics,4,0
1269,29,female,west,11,64,electronics,3,1
1270,46,non-binary,east,10,150,electronics,3,0
1271,62,female,north,4,120,home_goods,2,1
1272,50,non-binary,north,10,95,clothing,2,0
1273,48,female,west,20,96,books,5,0
1274,66,female,south,20,21,books,5,0
1275,22,male,north,18,130,clothing,5,0
1276,28,non-binary,west,4,175,clothing,5,1
1277,50,Other,north,15,34,books,4,0
1278,53,Other,east,1,102,home_goods,1,0
1279,55,male,north,14,89,electronics,5,0
1280,22,Other,north,10,105,clothing,2,0
1281,64,Other,east,13,115,books,4,1
1282,60,female,east,4,46,books,5,1
1283,32,male,north,10,119,books,5,1
1284,32,female,west,12,40,home_goods,2,0
1285,64,male,north,14,158,electronics,2,1
1286,24,male,west,20,173,electronics,2,0
1287,43,Other,south,18,56,electronics,2,0
1288,36,female,east,19,154,home_goods,2,1
1289,27,female,west,10,71,electronics,5,0
1290,65,female,west,18,127,electronics,3,0
1291,60,Other,east,14,105,clothing,3,1
1292,66,Other,south,8,77,clothing,4,0
1293,53,Other,west,18,136,clothing,4,1
1294,31,non-binary,north,15,95,electronics,5,0
1295,30,male,east,13,173,electronics,1,1
1296,66,female,west,7,86,home_goods,1,1
1297,30,male,west,8,179,clothing,4,0
1298,53,non-binary,east,13,120,home_goods,3,1
1299,50,Other,west,4,121,home_goods,2,1
1300,44,male,south,5,5,home_goods,5,0
1301,55,Other,east,5,51,home_goods,2,1
1302,33,Other,east,9,126,books,4,1
1303,68,non-binary,south,5,140,books,2,0
1304,52,male,north,3,172,electronics,1,1
1305,58,female,north,5,3,clothing,5,0
1306,21,Other,west,1,2,books,1,1
1307,64,non-binary,east,1,129,books,2,1
1308,24,female,south,7,159,home_goods,3,1
1309,43,male,east,13,118,clothing,2,1
1310,70,male,north,3,104,books,4,1
1311,21,male,south,3,128,books,3,1
1312,24,male,south,7,178,books,3,1
1313,22,non-binary,north,6,81,electronics,2,0
1314,66,Other,north,10,42,clothing,5,0
1315,42,non-binary,west,5,177,electronics,5,0
1316,40,male,north,14,60,electronics,3,0
1317,57,Other,east,1,163,home_goods,4,1
1318,40,Other,west,6,175,books,1,0
1319,36,female,north,3,69,clothing,4,0
1320,58,female,west,11,93,electronics,1,1
1321,37,Other,east,9,27,clothing,1,1
1322,46,Other,north,1,23,home_goods,5,1
1323,56,non-binary,west,1,75,books,4,0
1324,64,female,south,13,44,clothing,3,1
1325,49,female,north,6,112,home_goods,4,1
1326,68,male,east,9,64,books,5,0
1327,47,male,south,10,2,books,3,0
1328,42,non-binary,west,11,111,clothing,3,1
1329,62,female,west,11,46,books,3,1
1330,62,Other,south,11,97,home_goods,4,1
1331,54,female,south,18,7,books,2,0
1332,36,male,west,16,36,home_goods,2,1
1333,27,Other,west,3,115,books,5,1
1334,50,Other,north,12,180,electronics,1,0
1335,60,non-binary,south,20,12,books,3,0
1336,45,male,north,4,67,clothing,5,0
1337,53,female,west,12,101,books,5,0
1338,27,non-binary,north,16,27,home_goods,4,0
1339,23,male,south,12,80,home_goods,4,0
1340,51,Other,east,16,25,books,4,0
1341,37,male,north,1,88,electronics,2,0
1342,65,female,south,18,41,home_goods,5,0
1343,47,female,west,6,48,books,4,1
1344,57,female,west,19,110,books,1,0
1345,31,non-binary,north,19,27,clothing,3,0
1346,47,male,east,16,136,home_goods,5,1
1347,43,male,east,12,118,clothing,3,0
1348,55,male,south,11,31,clothing,3,1
1349,41,female,west,14,153,clothing,5,1
1350,29,Other,south,18,43,books,3,1
1351,38,Other,north,12,3,books,2,0
1352,42,Other,west,16,107,books,4,1
1353,54,male,south,10,9,home_goods,2,0
1354,28,Other,west,18,131,electronics,5,1
1355,67,non-binary,north,15,140,clothing,4,1
1356,59,female,east,2,116,home_goods,3,0
1357,23,Other,north,8,54,home_goods,5,0
1358,28,female,south,7,16,home_goods,5,1
1359,52,female,east,10,75,home_goods,5,0
1360,61,male,south,14,16,home_goods,2,0
1361,26,female,south,11,64,books,4,1
1362,58,non-binary,west,13,116,electronics,1,0
1363,65,non-binary,east,15,125,home_goods,5,1
1364,67,male,west,12,17,books,2,0
1365,70,female,west,9,83,home_goods,3,0
1366,26,Other,east,2,12,electronics,4,1
1367,28,Other,west,1,110,clothing,2,0
1368,37,female,east,3,168,home_goods,3,1
1369,60,female,north,13,161,home_goods,2,0
1370,23,male,north,7,123,electronics,2,0
1371,51,Other,north,1,179,home_goods,1,0
1372,45,female,west,3,59,books,1,0
1373,24,male,east,12,77,clothing,4,0
1374,66,female,south,3,136,electronics,5,1
1375,46,non-binary,south,5,106,books,2,1
1376,24,female,north,19,99,home_goods,4,1
1377,26,female,east,3,64,home_goods,1,0
1378,60,non-binary,south,17,156,clothing,4,1
1379,21,female,west,13,29,clothing,4,0
1380,22,male,east,11,34,books,5,0
1381,52,female,west,3,5,electronics,1,1
1382,20,male,west,17,74,books,4,0
1383,23,female,east,3,80,electronics,5,0
1384,69,female,east,13,151,electronics,3,0
1385,64,female,north,8,23,books,1,0
1386,56,male,east,6,31,electronics,2,0
1387,28,Other,east,17,133,home_goods,2,1
1388,65,non-binary,north,1,86,books,3,0
1389,34,male,west,15,131,home_goods,1,0
1390,54,female,east,6,66,electronics,5,0
1391,25,female,north,2,4,clothing,1,0
1392,42,female,south,2,142,books,2,1
1393,44,non-binary,east,3,147,home_goods,1,1
1394,21,female,south,17,12,books,1,0
1395,36,non-binary,east,3,142,books,1,1
1396,36,non-binary,south,15,95,books,2,0
1397,52,female,south,1,105,electronics,2,1
1398,58,male,east,1,169,books,3,1
1399,51,female,west,16,16,clothing,3,1
1400,32,Other,east,15,22,electronics,5,0
1401,70,Other,north,19,146,electronics,4,0
1402,26,female,east,9,81,books,3,1
1403,35,female,north,7,35,electronics,2,1
1404,46,Other,east,14,31,home_goods,2,0
1405,47,non-binary,north,3,41,home_goods,5,1
1406,38,female,north,8,92,books,5,1
1407,37,non-binary,south,1,104,books,5,0
1408,33,male,west,4,36,electronics,1,1
1409,67,female,south,7,103,home_goods,1,0
1410,34,male,north,3,51,books,2,1
1411,69,non-binary,north,2,119,electronics,2,0
1412,45,Other,west,1,98,books,2,1
1413,29,non-binary,east,15,39,electronics,5,0
1414,33,non-binary,west,14,141,books,1,1
1415,42,female,west,7,165,clothing,5,0
1416,42,non-binary,west,18,125,home_goods,5,0
1417,42,non-binary,south,1,82,clothing,1,0
1418,67,non-binary,north,16,136,home_goods,5,0
1419,28,male,south,8,69,electronics,2,0
1420,69,Other,east,6,46,clothing,5,1
1421,65,non-binary,north,12,146,clothing,5,0
1422,69,Other,east,6,126,electronics,1,1
1423,56,female,north,17,123,electronics,3,0
1424,30,female,east,6,83,electronics,1,1
1425,63,female,north,17,94,electronics,3,0
1426,60,Other,north,11,78,home_goods,2,0
1427,64,Other,west,11,45,home_goods,2,0
1428,70,female,west,10,177,home_goods,2,1
1429,18,Other,north,6,155,home_goods,5,1
1430,54,male,west,5,85,electronics,2,1
1431,38,female,north,11,115,electronics,3,1
1432,62,male,east,9,28,electronics,1,1
1433,64,Other,south,14,127,books,3,0
1434,24,Other,south,6,116,electronics,1,1
1435,38,non-binary,north,3,88,clothing,4,1
1436,22,male,east,20,158,books,1,0
1437,59,female,west,6,14,electronics,3,1
1438,30,Other,east,10,77,clothing,1,1
1439,54,Other,south,2,93,electronics,4,1
1440,70,Other,south,4,7,clothing,2,0
1441,23,Other,north,10,102,books,4,0
1442,34,male,west,6,95,books,3,1
1443,20,non-binary,west,15,68,clothing,3,0
1444,27,male,north,12,139,books,5,1
1445,21,Other,west,18,176,books,5,0
1446,48,non-binary,north,13,9,clothing,1,0
1447,46,female,south,7,50,clothing,1,0
1448,61,Other,south,5,153,home_goods,3,0
1449,69,male,north,13,143,books,5,1
1450,35,Other,north,20,151,books,1,0
1451,27,male,north,19,26,home_goods,5,0
1452,44,non-binary,west,16,147,books,1,1
1453,43,female,west,2,102,home_goods,2,1
1454,48,non-binary,east,1,87,home_goods,3,1
1455,49,male,south,5,77,books,3,1
1456,44,male,south,15,55,books,4,0
1457,41,male,south,3,80,books,2,0
1458,51,male,south,7,52,electronics,2,1
1459,21,non-binary,south,9,95,books,5,1
1460,25,male,south,12,126,books,2,0
1461,48,non-binary,east,6,67,electronics,3,1
1462,21,female,south,8,166,clothing,2,1
1463,44,male,north,16,34,clothing,5,0
1464,32,non-binary,east,9,109,books,3,0
1465,31,Other,east,17,160,books,5,1
1466,50,non-binary,east,10,176,electronics,4,1
1467,35,non-binary,east,9,168,home_goods,2,1
1468,66,female,north,20,104,home_goods,2,0
1469,59,Other,east,9,108,books,4,0
1470,55,female,east,8,176,books,3,0
1471,28,female,east,4,121,clothing,3,0
1472,53,female,east,3,57,home_goods,2,0
1473,37,Other,east,12,67,home_goods,4,0
1474,48,male,north,16,50,electronics,4,0
1475,44,male,south,5,52,home_goods,4,0
1476,47,female,east,6,21,books,3,0
1477,29,non-binary,north,1,116,home_goods,2,0
1478,28,female,west,3,34,books,4,0
1479,48,Other,north,2,137,clothing,3,0
1480,38,female,north,1,161,clothing,2,1
1481,40,non-binary,south,4,99,home_goods,2,1
1482,20,non-binary,east,15,134,home_goods,4,0
1483,26,non-binary,west,12,49,clothing,4,1
1484,32,female,south,1,151,clothing,1,1
1485,59,male,west,9,137,electronics,5,0
1486,60,male,north,2,177,electronics,4,1
1487,25,non-binary,west,5,53,electronics,3,0
1488,24,non-binary,south,14,27,electronics,3,0
1489,24,Other,south,20,52,home_goods,5,0
1490,40,Other,east,6,11,books,2,0
1491,48,non-binary,south,1,4,electronics,1,0
1492,60,Other,south,3,131,electronics,1,0
1493,59,female,west,10,68,books,1,1
1494,29,male,east,12,174,home_goods,4,0
1495,24,male,north,5,170,clothing,3,1
1496,46,non-binary,north,12,88,clothing,1,0
1497,47,non-binary,west,16,108,clothing,1,1
1498,64,male,south,4,107,books,5,1
1499,29,Other,east,20,8,clothing,4,0
1500,25,Other,west,2,17,home_goods,3,1
